,title,url,rating,price,review_count,product
10,"Bose Noise Cancelling Headphones 700 – Kabellose Bluetooth-Kopfhörer mit Alexa-Sprachsteuerung, Triple Midnight",https://www.amazon.com/Bose-Cancelling-Headphones-Bluetooth-Kopfh%C3%B6rer-Alexa-Sprachsteuerung-Blau/dp/B08FXSZS21/ref=sr_1_11?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-11,4.5 / 5,299.99 ,150.0,Headphones
11,"OneOdio Over-Ear Bluetooth Kopfhörer, Kabellos Faltbare Hi-Fi Kopfhörer Stereo Headphones mit Kräftigen Bass Mode 24 Std Spielzeit CVC8.0 Mikrofon Freisprechen für Handys/Laptops & PC",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A03222662IW1683QI9NGP&url=%2FOneOdio-Bluetooth-Kopfh%25C3%25B6rer-Headphones-Freisprechen-Schwarz%2Fdp%2FB085M31H37%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1625672544%26s%3Dce-de%26sr%3D1-12-spons%26psc%3D1&qualifier=1625672544&id=7359733408685323&widgetName=sp_mtf,4.2 / 5,31.99 ,350.0,Headphones
12,Apple AirPods Pro,https://www.amazon.com/Apple-MWP22ZM-A-AirPods-Pro/dp/B07ZPML7NP/ref=sr_1_13?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-13,4.7 / 5,190.00 ,36.1,Headphones
13,"USB C Kopfhörer,iMangoo Type C Kopfhörer mit Mikrofon und Lautstärkeregler Geräuschdämmende Ohrhörer HiFi-Klang Stereo Wired in Ear kopfhörer für Samsung S20 FE Note 20 Ultra S20 S20+ Pixel 5 4 3 2XL",https://www.amazon.com/Kopfh%C3%B6rer-iMangoo-Lautst%C3%A4rkeregler-Ger%C3%A4uschd%C3%A4mmende-HiFi-Klang/dp/B08QR778PT/ref=sr_1_14?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-14,4.3 / 5,19.99 ,61.0,Headphones
14,"Soundcore by Anker Life Q30 Bluetooth Kopfhörer, Hybrid Active Geräuschisolierung, Individuelle Modi, Hi-Res Sound, EQ in App, 40h Akku, bequemer Halt, Verbindung von 2 Geräten (Schwarz)",https://www.amazon.com/Soundcore-Bluetooth-Ger%C3%A4uschisolierung-Individuelle-Verbindung-Schwarz/dp/B08HMWZBXC/ref=sr_1_15?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-15,4.6 / 5,79.99 ,2.8,Headphones
15,"Beats Studio3 Over-Ear Bluetooth Kopfhörer mit Noise-Cancelling – Apple W1 Chip, Bluetooth der Klasse 1, aktives Noise-Cancelling, 22 Stunden Wiedergabe – Matt-schwarz",https://www.amazon.com/Beats-Wireless-Over%E2%80%91Ear-Kopfh%C3%B6rer-Mattschwarz/dp/B08529DT8N/ref=sr_1_16?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-16,4.6 / 5,189.95 ,3.7,Headphones
16,"OneOdio Bluetooth Kopfhörer Over Ear Geschlossene HiFi Studiokopfhörer mit Share Port, kabellose 40Stdn Headphone kabelgebundeneDJ-Kopfhörer für E-Drum Piano Gitarre AMP Recording und Monitoring",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A05618103T0TFEOAP1PGK&url=%2FOneOdio-Geschlossene-Studiokopfh%25C3%25B6rer-kabelgebundene-professionelle%2Fdp%2FB07MTW4KNJ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1625672544%26s%3Dce-de%26sr%3D1-17-spons%26psc%3D1%26smid%3DA3GU22V9ST15N&qualifier=1625672544&id=7359733408685323&widgetName=sp_mtf,4.4 / 5,39.99 ,5.7,Headphones
17,"Sennheiser HD 450BT Kabelloser Kopfhörer mit aktiver Geräuschunterdrückung, schwarz",https://www.amazon.com/Sennheiser-Kabelloser-Kopfh%C3%B6rer-aktiver-Ger%C3%A4uschunterdr%C3%BCckung-Black/dp/B083T4XJDY/ref=sr_1_18?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-18,4.3 / 5,99.00 ,2.2,Headphones
18,"Bose QuietComfort 35 Wireless Headphones II – Kabellose Noise-Cancelling-Kopfhörer mit Bluetooth im Over-Ear-Design mit Integriertem Mikrofon und Alexa-Sprachsteuerung, Schwarz",https://www.amazon.com/Bose-QuietComfort-Wireless-Kopfh%C3%B6rer-Standard-Schwarz/dp/B0756CYWWD/ref=sr_1_19?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-19,4.7 / 5,205.76 ,59.1,Headphones
19,Marshall Major III Bluetooth Faltbar Kopfhörer - braun,https://www.amazon.com/Marshall-Major-Bluetooth-Faltbar-Kopfh%C3%B6rer-Braun/dp/B07CMFBJM7/ref=sr_1_20?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-20,4.6 / 5,97.99 ,11.1,Headphones
20,"OneOdio Over Ear Kopfhörer mit Kabel, 50mm Treiber, Bassklang, 6.35 & 3.5mm Klinke, Share-Port, Geschlossene Studio Headphones für DJ, Podcast, Monitor, Handy, PC, MP3/4 (Pro-10 Blau)",https://www.amazon.com/OneOdio-Kopfh%C3%B6rer-Share-Port-Geschlossene-Headphones-Dunkel-Blau/dp/B08CXKNK2P/ref=sr_1_21?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-21,4.4 / 5,33.99 ,26.0,Headphones
21,"OneOdio Over Ear Kopfhörer mit Kabel, HiFi Studiokopfhörer mit Hi-Res, 50mm Treiber, Share-Port, Große Ohrmuscheln, 6,35 & 3,5mm Klinke, Geschlossene DJ Headphones für Podcast, Handy, PC (Pro 50)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A01030492S54G7K4K9W3Z&url=%2FOneOdio-Studiokopfh%25C3%25B6rer-Adapter-frei-Geschlossener-Treibereinheit-Standard%2Fdp%2FB07235LV4Q%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1625672544%26s%3Dce-de%26sr%3D1-22-spons%26psc%3D1&qualifier=1625672544&id=7359733408685323&widgetName=sp_btf,4.5 / 5,42.99 ,1.2,Headphones
22,"Bluetooth Over Ear Kopfhörer, Zihnic Wireless Faltbares Stereo Headset, Kabelloser Schalldämmung Kopfhörer mit Eingebautem MikrofonMicro SD/TF FM, On Ear Headphones für Phones/Pads/PC (Black-orange)",https://www.amazon.com/Bluetooth-Over-Ear-Kopfh%C3%B6rer-kabellos-verkabelt-Stereo-Headset-Ohrensch%C3%BCtzer-schwarz-orange/dp/B07YSGD7V7/ref=sr_1_23?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-23,4.4 / 5,22.99 ,12.3,Headphones
23,"AfterShokz OpenMove Wireless Bone Conduction Headphones Bluetooth Sweat Resistant Earphones with Mic for Sport,Elevation Blue",https://www.amazon.com/AfterShokz-Conduction-Headphones-Bluetooth-Resistant-Blue/dp/B08BZDR3ZT/ref=sr_1_24?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-24,4.5 / 5,89.95 ,3.6,Headphones
24,"ULIX Rider Kopfhörer In-Ear Ohrhörer, 3 Jahre Garantie, Verdrehsicheres, Geflochtenes Kabel, Mikrofon, Langlebig, 48-Ω-Treiber, Satte Bässe, Kopfhörer für iPhone, iPad, Samsung, Computer, Laptop, PC",https://www.amazon.com/Kopfh%C3%B6rer-Verdrehsicheres-Geflochtenes-Langlebig-48-%CE%A9-Treiber-Schwarz/dp/B092MKW5CR/ref=sr_1_25?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-25,4.7 / 5,14.97 ,270.0,Headphones
25,"Apple EarPods mit 3,5 mm Kopfhörerstecker",https://www.amazon.com/Apple-EarPods-mit-Kopfh%C3%B6rerstecker/dp/B06XDLJL26/ref=sr_1_26?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-26,4.5 / 5,14.62 ,12.8,Headphones
26,"Sony WH-XB900N Bluetooth Noise Cancelling Kopfhörer (Extra Bass, 30h Akku, Alexa & Google Assistant, Gestensteuerung, Headset mit Mikrofon für Telefon & PC/Laptop) blau",https://www.amazon.com/Sony-WH-XB900N-Bluetooth-Cancelling-Gestensteuerung-Blau/dp/B07RT5YMF5/ref=sr_1_27?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-27,4.5 / 5,129.99 ,4.7,Headphones
27,"Sennheiser HD 350BT Kabelloser faltbarer Kopfhörer, schwarz",https://www.amazon.com/Sennheiser-Kabelloser-faltbarer-Kopfh%C3%B6rer-schwarz-Black/dp/B083MNJ2VX/ref=sr_1_28?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-28,4.3 / 5,75.00 ,1.8,Headphones
28,"JBL Tune500BT On-Ear Bluetooth-Kopfhörer in Weiß – Faltbarer, kabelloser Ohrhörer mit integriertem Headset – Musik Streaming bis zu 16 Stunden mit nur einer Akku-Ladung",https://www.amazon.com/JBL-Tune500BT-Ear-Bluetooth-Kopfh%C3%B6rer-Wei%C3%9F/dp/B07HGG1XTS/ref=sr_1_29?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-29,4.6 / 5,29.99 ,19.9,Headphones
29,JBL Live Free NC+ TWS – Kabellose In-Ear-Kopfhörer mit Noise Cancelling in Schwarz – Bis zu 21 Stunden Akkulaufzeit – Inkl. Ladebox,https://www.amazon.com/JBL-Live-Free-TWS-Ear-Kopfh%C3%B6rer-Schwarz/dp/B08FB2QG5Z/ref=sr_1_30?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-30,4.3 / 5,94.00 ,110.0,Headphones
30,"OneOdio Over-Ear Bluetooth Kopfhörer, Kabellos Faltbare Hi-Fi Kopfhörer Stereo Headphones mit Kräftigen Bass Mode 24 Std Spielzeit CVC8.0 Mikrofon Freisprechen für Handys/Laptops & PC",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A03222662IW1683QI9NGP&url=%2FA11%2Fdp%2FB085M31H37%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625672545%26s%3Dce-de%26sr%3D1-25-spons%26psc%3D1&qualifier=1625672545&id=3221663608175322&widgetName=sp_atf_next,4.2 / 5,31.99,350.0,Headphones
31,"OneOdio Bluetooth Over-ear Headphones, Closed Studio Headphones with Share Port, Wired and Wireless Professional DJ Headphones for Electric Drum, Piano, Guitar, AMP Recording and Monitoring",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A05618103T0TFEOAP1PGK&url=%2FBluetooth-Headphones-Professional-Recording-Monitoring%2Fdp%2FB07MTW4KNJ%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625672545%26s%3Dce-de%26sr%3D1-26-spons%26psc%3D1%26smid%3DA3GU22V9ST15N&qualifier=1625672545&id=3221663608175322&widgetName=sp_atf_next,4.4 / 5,39.99,5.7,Headphones
32,"Bluetooth headphones, wireless headphones in ear with microphone and touch control, 20 hours long battery life, IP65 waterproof, automatic pairing sports earphones for iPhone/Samsung/Huawei",https://www.amazon.com/-/en/Bluetooth-headphones-microphone-waterproof-automatic/dp/B08LPG3VJP/ref=sr_1_27?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-27,4.6 / 5,25.49,34.0,Headphones
33,Muzili Bluetooth Headphones,https://www.amazon.com/-/en/G4-Muzili-Bluetooth-Headphones/dp/B0861CV1GZ/ref=sr_1_28?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-28,4.3 / 5,30.59,9.7,Headphones
34,Sony MDR-XB550AP Extra Bass Headphones with Microphone,https://www.amazon.com/-/en/Sony-MDR-XB550AP-Extra-Headphones-Microphone/dp/B01N6NBOJJ/ref=sr_1_29?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-29,4.5 / 5,33.99,3.7,Headphones
35,"Panasonic RP-HJE125 ErgoFit In Ear Wired Earphones with 3 Sizes of Ear Buds, 10 Hz - 24 kHz, 1.1 m Cable Single 1,1 m Black",https://www.amazon.com/-/en/Panasonic-RP-HJE125-ErgoFit-Wired-Earphones/dp/B00CBU0IV8/ref=sr_1_30?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-30,4.4 / 5,6.29,19.8,Headphones
36,"OneOdio Over Ear Studio Headphones with Cable with 6.3 mm &amp; 3.5 mm Jack, Closed DJ Headphones with 50 mm Driver, Bass Sound",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A0734596FZZXG88RHAGB&url=%2FOneOdio-Studio-Headphones-Closed-Driver%2Fdp%2FB08CXKNK2P%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625672545%26s%3Dce-de%26sr%3D1-31-spons%26psc%3D1&qualifier=1625672545&id=3221663608175322&widgetName=sp_mtf,4.4 / 5,33.99,26.0,Headphones
37,JBL Tune500BT On-Ear Bluetooth Headphones in Black - Foldable Wireless Earbuds with Built-in Headset - Up to 16 Hours of Music Streaming on a Single Charge,https://www.amazon.com/-/en/Tune500BT-Bluetooth-Headphones-Black-Built/dp/B07HGG85HL/ref=sr_1_32?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-32,4.6 / 5,29.99,19.9,Headphones
38,"3.5 mm Magnetic In-Ear Headphones with Cable, Microphone and Volume Control for iPhone, iPod, iPad, MP3, Huawei, Samsung, Lightweight",https://www.amazon.com/-/en/Magnetic-Headphones-Microphone-Control-Lightweight/dp/B083J88QRS/ref=sr_1_33?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-33,4.3 / 5,11.78,4.7,Headphones
39,Sennheiser HD 400S Over-Ear Headphones with Smart Remote - Black,https://www.amazon.com/-/en/Sennheiser-Over-Ear-Headphones-Smart-Remote-black/dp/B07N2261R6/ref=sr_1_34?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-34,4.3 / 5,49.90,1.3,Headphones
40,"Bluetooth Kopfhörer,Bluetooth 5.1 In Ear Ohrhörer,30 Stunden Musikspielzeit mit Ladekoffer,Unterstützung drahtloser Aufladung,wasserdichte Kopfhörer Kabellosund Mikrofon Ladebox für iOS Android",https://www.amazon.com/-/en/dp/B095S2GWTR/ref=sr_1_35?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-35,4.9 / 5,36.00,48.0,Headphones
41,"OneOdio Headphones with Microphone Over-Ear Headphones with Cable Headset with Volume Control, 3.5 mm Jack for Mobile Phone PC Laptop Computer Closed HiFi Studio Headphones",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A02270382HO40EAJC9N6I&url=%2FOneOdio-Headphones-Microphone-Over-Ear-Computer%2Fdp%2FB08CZ5J6S2%2Fref%3Dsr_1_36_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625672545%26s%3Dce-de%26sr%3D1-36-spons%26psc%3D1&qualifier=1625672545&id=3221663608175322&widgetName=sp_mtf,4.3 / 5,31.99,95.0,Headphones
42,"Headphones, Wired JKSWT Earphones with Microphone and Volume Control, High Definition, Powerful Bass Sound, In-Ear Headphones, Compatible with 3.5 mm Headphones",https://www.amazon.com/-/en/Headphones-Earphones-Microphone-Definition-Compatible/dp/B0919BBRB2/ref=sr_1_37?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-37,4.6 / 5,5.99,1.0,Headphones
43,"Bluetooth 5.0 Wireless In-Ear Headphones for Sport - 3500 mAh, 150 Hours’ Playing Time - Wireless Earbuds, IPX7 Waterproof - CVC8.0 Earphones with LED Display, Charging Box &amp; Mic",https://www.amazon.com/-/en/Bluetooth-Wireless-Ear-Headphones-Sport/dp/B08B3QSV16/ref=sr_1_38?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-38,4.1 / 5,29.99,11.9,Headphones
44,"Children's Headphones - Wired Headphones for Children, Adjustable Headband, Stereo Sound, Foldable, Tangle-Free Wires, 3.5 mm Aux Jack, 85dB Volume Limiting - Children’s On-Ear Headphones, Blue",https://www.amazon.com/-/en/Childrens-Headphones-Adjustable-Tangle-Free-Ear-purple/dp/B08H562HBS/ref=sr_1_39?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-39,4.6 / 5,13.99,11.0,Headphones
45,"Samsung Headphones EHS64AVFWE Bulk White Sets, In-ear, White",https://www.amazon.com/-/en/Samsung-Headphones-EHS64AVFWE-Bulk-White/dp/B07WN47SNJ/ref=sr_1_40?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-40,4.1 / 5,7.02,2.2,Headphones
46,"OneOdio Over Ear Headphones with Cable, HiFi Studio Headphones with Hi-Res, 50 mm Driver, Sharp Port, Large Ear Cups, 6.35 & 3.5 mm Jack, Closed DJ Headphones for Podcast, Mobile Phone, PC (Pro 50)",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A01030492S54G7K4K9W3Z&url=%2FOneOdio-Headphones-Studio-Hi-Res-Podcast%2Fdp%2FB07235LV4Q%2Fref%3Dsr_1_41_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625672545%26s%3Dce-de%26sr%3D1-41-spons%26psc%3D1&qualifier=1625672545&id=3221663608175322&widgetName=sp_mtf,4.5 / 5,42.99,1.2,Headphones
47,"ULIX Rider In-Ear Headphones, 3 Year Warranty, Twist-proof Braided Cable, Microphone, Durable, 48 Ω Driver, Rich Bass, Headphones for iPhone, iPad, Samsung, Computer, Laptop, PC",https://www.amazon.com/-/en/Headphones-Warranty-Twist-proof-Microphone-Computer/dp/B092MKW5CR/ref=sr_1_42?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-42,4.7 / 5,14.97,270.0,Headphones
48,"HOISTAC Kopfhörer In Ears, Wired Ohrhörer mit Mikrofon und Bass Premium-Audioqualität, In Ear Kopfhörer kompatibel für iPhone, Samsung, Huawei, iPad, PS4, Leichte Mode Ohrhörer mit 3.5mm Kopfhörern",https://www.amazon.com/-/en/1216/dp/B08Q7QNWGC/ref=sr_1_43?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-43,4.0 / 5,7.90,82.0,Headphones
49,Sony MDR-EX110LPB closed in-ear headphones black,https://www.amazon.com/-/en/Sony-MDR-EX110LPB-closed-headphones-black/dp/B00I3LUSN2/ref=sr_1_44?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-44,4.4 / 5,9.79,7.4,Headphones
50,Elehot Bluetooth Headphones Over Ear Headphones Wireless Headset Foldable with Microphone Bluetooth 5.0 for Mobile Phone PC Laptops TV (1000 mAh),https://www.amazon.com/-/en/Bluetooth-Headphones-Wireless-Foldable-Microphone/dp/B08S3RJZ6J/ref=sr_1_45?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-45,4.5 / 5,29.99,58.0,Headphones
51,Muzili Bluetooth Headphones,https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A1045338DIK4D3MQ7MJZ&url=%2FG4-Muzili-Bluetooth-Headphones%2Fdp%2FB0861CV1GZ%2Fref%3Dsr_1_46_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625672545%26s%3Dce-de%26sr%3D1-46-spons%26psc%3D1%26smid%3DA3K38O0MGJDZW&qualifier=1625672545&id=3221663608175322&widgetName=sp_btf,4.3 / 5,30.59,9.7,Headphones
52,Sony MDR-ZX310B Lifestyle Headphones Without Microphone,https://www.amazon.com/-/en/MDR-ZX310B-Lifestyle-Headphones-Without-Microphone/dp/B00I3LUY68/ref=sr_1_47?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-47,4.5 / 5,16.99,13.0,Headphones
53,Panasonic RP-HT030E-S Strap headphones (foldable headphones; 1.2m cable length; 3.5mm jack plug) silver,https://www.amazon.com/-/en/Panasonic-RP-HT030E-S-headphones-foldable-length/dp/B00009LHI6/ref=sr_1_48?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-48,4.5 / 5,7.29,2.0,Headphones
54,"HolyHigh Bluetooth headphones, in-ear headphones, wireless with clear call, wireless headphones, sport with 25 playtime with charging case, touch control, easy pairing, BT 5.0 for all smartphones",https://www.amazon.com/-/en/HolyHigh-Bluetooth-headphones-wireless-smartphones/dp/B08GY9LMT4/ref=sr_1_49?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-49,4.3 / 5,30.99,9.5,Headphones
55,Wireless Earbuds,https://www.amazon.com/-/en/Q22-Wireless-Earbuds/dp/B08K91F1M4/ref=sr_1_50?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-50,4.3 / 5,35.99,927.0,Headphones
56,"Monster Inspiration 700 ANC In-Ear Headphones Bluetooth 5.0 Noise Cancelling Headphones, AptX Codec/Hi-Fi Audio/Type-C/CVC 8.0 Mic,Wireless Earbuds for iPhone and Android (Black)",https://www.amazon.com/-/en/Inspiration-Headphones-Bluetooth-Cancelling-Wireless/dp/B07HVK7J2G/ref=sr_1_51?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625672545&s=ce-de&sr=1-51,4.8 / 5,129.99,8.0,Headphones
